property_id,property_type,square_footage,bedrooms,bathrooms,year_built,lot_size,neighborhood,garage_spaces,pool,fireplace,view,renovation_year,renovation_cost,distance_to_school,distance_to_hospital,distance_to_grocery_store,crime_rate,median_income,property_tax,hoa_fee,heating_type,cooling_type,foundation_type,roof_material,energy_efficiency_rating,listing_date,selling_price,selling_date,profit_margin
38,condo,506,5,2,1973,9.1,suburban,0,false,true,city,1972,42844,4.3,8.1,7.5,3.0,134127,1353,356,electric,window,crawl space,tile,6,3/30/2022,142244,5/15/2021,200
39,apartment,3186,4,3,1977,9.4,urban,0,false,false,city,1934,9157,8.7,0.7,4.7,3.8,131111,1027,480,electric,window,crawl space,asphalt,1,1/17/2022,546638,4/18/2021,5800
40,townhouse,3631,6,1,1971,4.4,rural,0,true,true,mountain,1988,25089,6.7,5.1,6.7,6.9,79000,4566,110,electric,window,basement,tile,10,2/19/2021,648852,1/8/2021,2400
41,townhouse,1826,2,3,1920,4.4,urban,2,true,true,city,1996,8609,2.8,7.4,6.7,6.3,123935,1375,105,electric,window,crawl space,tile,8,1/10/2022,568267,6/16/2020,6500
42,townhouse,1352,1,2,2007,5.3,suburban,0,true,false,city,1914,9590,2.3,7.9,6.0,8.3,60502,3364,480,electric,window,crawl space,tile,3,6/2/2022,252850,6/8/2022,2500
43,house,3928,3,3,1908,2.7,urban,1,false,false,mountain,1912,23586,2.9,0.6,4.1,8.2,41922,1847,110,gas,window,basement,metal,1,12/29/2022,872039,11/3/2020,3500
44,house,4336,1,2,1926,3.1,rural,1,false,false,mountain,1981,38946,9.3,9.5,5.0,4.8,108610,603,59,electric,window,slab,asphalt,9,9/18/2020,214365,4/21/2022,400
45,house,4340,3,4,1992,0.8,urban,1,false,true,city,1993,4843,7.1,6.1,6.6,8.4,134339,1987,410,oil,none,crawl space,tile,7,1/2/2022,378774,10/17/2020,7700
46,townhouse,1709,4,1,1974,1.6,suburban,1,false,false,city,1951,9512,5.7,8.0,6.9,6.5,112145,4350,245,gas,window,slab,tile,3,8/15/2020,437014,2/27/2020,4400
47,townhouse,3068,2,3,1914,3.3,rural,0,false,false,mountain,1987,23368,8.9,9.3,8.1,0.5,75972,4279,241,gas,central,crawl space,metal,6,10/20/2022,52046,1/13/2020,100
48,apartment,1239,5,4,2000,5.0,suburban,3,true,false,mountain,1916,34936,2.9,1.4,3.1,2.0,80232,687,398,oil,central,slab,tile,4,4/16/2020,551590,5/5/2020,1400
49,apartment,2765,2,2,1911,0.2,rural,1,false,false,mountain,1909,47222,2.6,6.7,6.0,7.0,30700,4304,427,oil,window,crawl space,asphalt,8,3/28/2021,474992,2/2/2021,900
50,house,2690,1,1,1988,2.3,rural,3,true,true,city,1973,44932,5.1,4.6,8.9,6.2,47207,3232,159,gas,none,crawl space,asphalt,9,3/18/2021,609893,12/20/2022,1200
51,house,1445,4,3,2018,6.3,urban,3,false,false,city,1948,7045,7.9,6.3,8.9,8.4,86962,1878,204,gas,central,basement,asphalt,7,4/17/2021,536081,5/4/2022,7500
52,house,4513,3,3,1920,6.5,rural,0,false,true,mountain,1989,21109,3.6,1.1,5.1,9.6,31415,3165,300,oil,none,crawl space,tile,3,1/1/2020,179745,12/3/2020,700
53,condo,4705,5,4,1974,4.5,urban,2,true,false,mountain,2012,31469,5.1,3.9,0.9,8.1,70051,2636,362,oil,central,basement,tile,8,4/24/2020,295477,1/31/2021,800
54,house,4126,1,3,1939,0.3,suburban,2,false,true,city,2009,40657,4.9,2.1,5.8,5.5,145383,615,324,oil,none,slab,asphalt,10,5/30/2022,816986,5/9/2020,1900
55,house,2237,1,3,1950,4.7,suburban,1,false,true,ocean,1902,24582,5.8,4.4,1.5,6.2,117962,4155,274,gas,central,crawl space,tile,10,3/18/2020,719639,7/15/2022,2800
56,townhouse,3116,4,1,2009,4.5,rural,1,true,true,ocean,1987,39862,3.7,3.8,8.5,9.9,97376,1831,403,oil,window,slab,asphalt,1,1/21/2020,983410,1/12/2021,2300
57,apartment,1831,2,3,1974,0.5,suburban,3,true,false,ocean,1994,44981,3.6,6.9,5.4,8.7,96724,3166,411,electric,window,basement,metal,6,11/1/2021,366862,2/25/2022,700
58,townhouse,2720,4,2,1979,8.4,rural,0,true,true,ocean,1930,44635,4.7,4.3,3.1,2.0,121549,4481,166,gas,window,basement,asphalt,1,10/15/2021,319383,3/3/2020,600
59,apartment,2536,4,2,1939,4.1,urban,2,true,true,city,2000,44191,3.9,6.1,5.6,7.9,106621,3923,478,gas,window,basement,tile,5,3/2/2021,561867,12/12/2021,1100
60,condo,3886,2,2,1993,8.7,rural,2,true,true,ocean,1995,11858,1.8,4.3,1.7,7.0,101270,3944,66,gas,none,crawl space,tile,5,6/6/2022,910532,6/3/2022,7500
61,house,3520,5,1,2020,2.8,suburban,0,true,false,mountain,1998,11364,2.4,8.5,6.2,2.2,34168,4319,133,oil,none,slab,asphalt,5,10/30/2020,165998,9/4/2020,1300
62,apartment,574,3,2,2017,8.4,rural,3,true,true,ocean,1945,31304,2.9,2.9,8.9,9.0,60255,3788,270,oil,central,crawl space,asphalt,3,6/5/2022,109121,10/14/2022,200
63,condo,1239,1,2,1981,7.5,rural,3,true,true,city,2019,42159,4.2,2.4,3.9,9.6,135270,4730,163,oil,window,crawl space,tile,4,3/16/2021,625769,5/22/2022,1300
64,townhouse,4892,4,2,1956,8.4,urban,1,true,false,mountain,2016,2033,7.8,6.6,9.1,2.6,117444,3474,397,oil,central,crawl space,metal,3,10/24/2022,481528,9/27/2021,23500
65,townhouse,3040,5,4,1928,2.2,suburban,2,false,true,ocean,1936,43454,2.7,4.1,7.4,3.9,60843,3960,409,gas,none,slab,asphalt,1,8/3/2020,100961,11/12/2022,100
66,townhouse,2373,6,4,1906,1.2,rural,1,true,false,ocean,2004,47576,10.0,3.5,6.3,0.2,116353,4855,486,gas,window,basement,asphalt,1,5/7/2020,348778,7/28/2021,600
67,house,2345,6,1,2001,6.9,urban,0,false,true,mountain,1909,41589,3.9,1.7,7.7,0.7,26096,963,201,oil,none,basement,asphalt,7,8/29/2021,956910,4/1/2020,2200
68,apartment,3196,3,1,1923,3.8,rural,3,true,true,ocean,2022,28741,7.4,4.3,9.3,7.7,118302,3695,156,gas,window,basement,metal,6,7/14/2021,919616,11/22/2020,3000
69,house,3296,1,3,2015,4.2,rural,3,false,true,city,1950,10937,9.7,6.2,3.9,3.1,63255,2813,478,oil,none,basement,metal,5,3/2/2022,419653,3/19/2020,3700
70,townhouse,1801,4,2,1916,6.0,rural,2,true,true,city,1948,29072,9.2,9.0,6.0,4.5,101876,2858,79,oil,central,slab,tile,1,9/4/2022,847599,5/8/2020,2800
71,condo,682,6,4,1919,8.3,suburban,1,true,false,ocean,1998,1341,4.6,3.6,6.2,3.0,126243,3845,383,electric,central,basement,metal,9,3/14/2022,383410,11/16/2021,28400
72,house,549,5,3,1972,4.8,rural,1,false,true,ocean,1948,4407,3.9,6.4,4.0,9.9,62576,3945,136,gas,none,crawl space,metal,2,9/24/2022,443190,11/21/2021,9900
73,condo,4138,2,4,1997,6.4,rural,1,true,true,ocean,1949,32620,4.4,5.0,6.1,8.0,39336,3334,333,gas,window,basement,metal,3,11/15/2022,268750,3/8/2020,700
74,condo,2246,3,2,1920,5.8,rural,3,true,true,city,1901,19152,3.2,2.6,5.2,4.1,102125,2068,270,gas,central,slab,asphalt,8,11/20/2020,577178,5/19/2020,2900
75,townhouse,4426,6,3,1905,0.9,rural,1,false,false,ocean,1952,28034,0.1,3.9,3.2,3.4,82165,1719,183,gas,none,slab,asphalt,8,4/19/2021,95731,11/11/2021,200
76,house,1772,1,1,1930,3.5,rural,3,true,false,mountain,1930,19792,4.4,7.3,2.5,4.5,95489,4179,223,electric,none,slab,metal,2,5/3/2020,542279,12/12/2021,2600
77,house,4254,3,2,1937,3.6,suburban,3,true,true,city,1948,22170,8.6,0.2,1.0,1.2,94356,719,404,oil,central,basement,asphalt,7,2/20/2022,746731,6/18/2022,3200
78,condo,854,1,1,1904,9.1,rural,1,true,false,mountain,1979,37521,3.2,9.2,7.1,6.1,114943,1339,108,electric,central,crawl space,asphalt,2,5/28/2022,381478,12/31/2020,900
79,apartment,3539,5,4,1906,3.1,urban,0,false,false,mountain,2019,5564,3.3,8.2,2.6,8.3,143755,4604,438,electric,none,slab,asphalt,7,6/4/2022,535885,12/23/2021,9500
80,condo,3289,5,1,2002,3.2,rural,0,false,false,city,1984,5267,5.6,3.8,6.0,0.9,84167,2136,98,gas,central,slab,metal,1,8/26/2021,941110,7/9/2020,17700
81,condo,2053,5,4,1995,8.2,rural,0,true,true,city,1900,40526,5.1,3.1,4.8,8.9,115553,2803,204,electric,none,crawl space,metal,2,11/12/2021,684119,5/22/2021,1500
82,apartment,944,3,1,2006,4.5,urban,0,true,true,mountain,2019,33872,9.2,9.7,10.0,3.6,132368,2868,398,gas,none,slab,metal,3,1/21/2022,650270,1/17/2020,1800
83,townhouse,4630,1,1,1997,7.6,urban,1,true,false,city,1959,32739,3.3,5.0,3.0,4.3,138649,4427,302,gas,none,slab,metal,1,8/2/2020,383373,6/7/2022,1000
84,condo,4347,4,4,1945,1.4,rural,0,false,false,mountain,1994,49932,2.4,8.6,5.1,2.2,136133,1079,242,electric,window,basement,metal,5,3/19/2021,630963,3/27/2020,1100
85,apartment,2566,5,4,1993,0.1,suburban,0,true,false,ocean,1913,8942,0.4,2.0,6.9,9.7,46241,909,262,oil,none,crawl space,asphalt,7,8/20/2022,258533,1/24/2021,2700
86,condo,523,1,2,1967,9.4,rural,3,false,false,city,2020,17106,1.8,5.5,5.2,5.7,116410,4808,151,oil,central,crawl space,tile,4,10/9/2021,689550,4/18/2020,3900
87,house,3792,1,4,1988,7.0,suburban,2,true,true,city,1986,33628,3.5,6.0,1.6,0.7,87582,2620,229,oil,window,slab,asphalt,6,7/6/2022,147099,6/9/2022,300
88,townhouse,3892,1,1,1928,6.8,urban,1,false,true,ocean,1982,14234,4.2,2.5,7.1,8.0,66147,1127,103,electric,window,slab,asphalt,2,12/16/2022,656967,8/1/2021,4500
89,house,3215,4,2,1994,0.6,urban,0,false,true,city,2001,27396,0.6,0.9,6.7,4.0,120324,4152,302,oil,window,basement,asphalt,2,5/13/2021,743207,6/18/2021,2600
90,townhouse,1784,6,1,1961,7.5,urban,2,false,false,mountain,1968,5369,4.5,4.8,2.3,5.3,84311,2132,244,oil,none,slab,asphalt,10,7/21/2022,623021,9/14/2021,11500
91,apartment,1140,3,1,1932,9.5,urban,1,true,false,city,1952,41801,4.2,9.5,4.7,4.8,86889,1979,464,electric,window,crawl space,metal,5,6/16/2022,577788,5/7/2020,1200
92,apartment,4306,1,4,1977,6.8,rural,3,false,true,mountain,1904,44401,6.0,10.0,8.7,4.3,23309,3592,480,oil,none,basement,asphalt,5,5/9/2022,678100,6/30/2020,1400
93,townhouse,1267,3,3,1935,8.8,suburban,1,true,true,city,1993,18580,5.9,1.2,4.9,4.3,28254,4753,297,oil,central,slab,metal,8,5/17/2020,384329,4/2/2021,1900
94,apartment,754,3,4,2021,9.5,rural,2,false,true,ocean,2013,36354,5.9,9.4,0.6,1.3,108703,4349,368,electric,none,crawl space,metal,1,3/31/2020,823578,4/4/2022,2100
95,condo,2973,3,2,1973,8.5,urban,2,false,false,ocean,2002,48694,3.6,6.1,5.1,5.3,114121,3679,302,electric,central,slab,asphalt,10,7/22/2021,77982,11/23/2020,0
96,townhouse,3375,1,4,1989,2.7,urban,0,false,false,mountain,2009,41304,3.8,1.2,0.6,9.6,49873,1415,334,electric,window,slab,metal,10,5/31/2022,267104,5/22/2021,500
97,condo,569,2,3,1953,2.9,suburban,1,true,false,city,2010,30328,5.1,0.2,0.8,9.3,100951,3959,485,oil,none,slab,asphalt,9,4/18/2020,811088,12/14/2020,2500
98,house,3821,3,1,1977,1.0,suburban,3,true,false,ocean,2001,20211,1.1,5.3,2.3,9.6,30734,2749,465,oil,window,slab,tile,5,10/16/2020,554877,3/15/2021,2600
99,apartment,633,6,2,1901,3.7,rural,1,true,true,city,1942,20837,7.7,1.4,8.1,2.1,95731,2054,151,electric,window,basement,tile,10,11/26/2020,605135,12/11/2021,2800
100,house,4328,2,1,2003,6.3,urban,0,false,false,mountain,2007,17382,2.4,7.7,6.8,6.8,50130,534,256,gas,window,basement,tile,6,4/5/2021,167621,2/1/2020,800
101,townhouse,3421,4,4,1958,9.8,suburban,0,false,true,ocean,1988,34543,4.4,7.0,4.1,5.4,46855,727,398,oil,central,slab,tile,8,11/19/2020,777182,11/6/2022,2100
102,apartment,976,4,3,1997,0.5,urban,0,false,true,mountain,1952,36204,2.6,9.8,1.5,5.3,134685,2282,416,gas,window,basement,metal,6,7/14/2020,388529,9/26/2020,900
103,condo,565,5,3,1937,7.1,suburban,3,true,true,mountain,1916,43170,1.8,2.5,5.5,8.8,63711,3993,170,electric,none,crawl space,metal,6,1/26/2020,205876,11/17/2021,300
104,condo,1792,4,3,1963,7.0,urban,3,false,false,ocean,1948,11007,6.8,7.5,4.8,4.9,124969,2828,178,gas,central,slab,asphalt,7,1/12/2022,844998,7/29/2020,7500
105,house,3484,5,2,1964,9.0,rural,2,false,true,mountain,1916,41612,10.0,6.4,0.3,4.1,100867,4956,423,gas,window,slab,asphalt,4,12/3/2021,201716,1/9/2022,300
106,townhouse,3742,5,4,2002,4.2,rural,0,true,false,ocean,1917,35258,1.7,1.5,4.4,1.6,111219,4154,295,gas,none,slab,tile,9,7/21/2022,503603,2/8/2021,1300
107,townhouse,4789,4,2,1937,4.9,urban,3,true,true,ocean,1926,24421,3.8,4.8,7.6,1.8,35607,636,118,oil,window,crawl space,tile,8,2/9/2021,55785,8/5/2020,100
108,townhouse,2058,5,4,1939,5.2,suburban,1,true,false,mountain,1901,37203,6.6,9.3,1.3,5.5,26912,1795,408,oil,central,crawl space,metal,7,12/16/2022,809547,8/7/2022,2000
109,house,4447,3,4,1986,9.0,rural,0,false,true,ocean,1903,9593,2.4,9.5,2.7,5.7,99044,1673,292,gas,none,slab,tile,1,9/11/2020,588234,8/12/2022,6000
110,townhouse,1435,3,3,1948,1.0,suburban,1,false,false,city,1948,14146,2.1,4.4,2.7,2.4,95124,1097,438,electric,none,crawl space,metal,4,2/19/2021,943123,10/22/2020,6500
111,townhouse,2915,5,3,1915,5.8,urban,0,false,false,ocean,1944,36294,1.1,0.4,0.8,5.1,34734,3292,204,electric,central,basement,metal,4,12/12/2021,372724,1/6/2020,900
112,townhouse,2550,2,3,1958,6.4,urban,0,true,true,ocean,2022,7046,8.5,4.8,8.9,2.4,63990,4225,327,oil,window,crawl space,asphalt,8,5/3/2020,272327,3/29/2020,3700
113,apartment,4600,2,3,1953,9.7,urban,1,false,false,mountain,2022,14812,5.9,7.2,3.8,8.6,67457,2750,372,oil,window,slab,asphalt,2,7/24/2022,223269,4/10/2021,1400
114,townhouse,4889,3,1,1986,6.6,urban,3,true,false,mountain,2021,18063,8.9,8.7,2.0,8.7,41242,3292,478,gas,none,basement,tile,7,9/8/2021,275794,4/23/2020,1400
115,townhouse,4245,4,4,1976,8.1,rural,0,true,false,mountain,1909,11598,6.0,2.9,4.4,3.4,44810,2855,476,electric,central,crawl space,metal,5,11/2/2021,724009,9/23/2021,6100
116,house,1935,3,4,1970,0.9,urban,0,false,true,ocean,1966,31318,9.7,5.1,2.6,7.7,27438,1484,78,electric,window,crawl space,asphalt,2,12/30/2022,624049,8/26/2022,1800
117,condo,4771,1,3,2010,2.9,suburban,1,true,false,city,1966,10791,6.7,4.6,9.3,8.1,103407,4278,474,electric,central,basement,tile,1,4/17/2020,902736,1/14/2021,8200
118,house,1449,5,2,1971,3.4,suburban,3,false,true,city,1926,21032,1.0,9.2,5.0,4.2,129506,2174,95,gas,none,basement,metal,9,2/16/2020,517130,6/7/2021,2300
119,condo,2339,4,4,1927,3.1,rural,3,false,true,ocean,1930,40111,5.1,8.6,2.4,0.5,68462,785,166,electric,central,crawl space,metal,4,12/28/2020,444142,1/17/2022,1000
120,townhouse,3060,6,3,2021,1.4,rural,3,false,false,ocean,1907,34386,7.8,6.3,8.1,6.6,46192,728,425,electric,window,basement,asphalt,7,1/23/2021,557682,12/19/2020,1500
121,house,2523,3,1,1924,3.8,urban,2,true,true,ocean,1945,41879,7.3,7.9,6.2,4.8,66474,4803,413,gas,central,slab,tile,10,7/14/2021,840794,11/17/2022,1900
122,townhouse,2826,4,3,1913,8.4,rural,2,false,true,city,1940,17810,1.5,9.3,0.8,4.6,46850,2014,170,gas,window,slab,tile,3,6/29/2020,455695,9/29/2020,2400
123,townhouse,4307,4,2,1917,2.2,suburban,2,false,true,mountain,1958,20033,4.4,6.3,7.2,1.3,43165,3128,445,oil,window,slab,metal,5,8/30/2021,620616,8/21/2020,2900
124,condo,1008,5,3,1996,0.7,suburban,0,true,false,mountain,1972,18380,3.8,2.5,2.0,5.1,68711,4556,323,oil,window,crawl space,asphalt,5,4/6/2021,166078,8/4/2020,800
125,condo,1628,5,2,2012,5.9,rural,2,true,false,mountain,1966,48874,8.8,9.2,4.4,0.3,22569,3284,242,oil,none,slab,metal,6,5/7/2022,469560,4/10/2020,800
126,apartment,3800,4,3,1941,7.7,suburban,0,true,false,ocean,2012,47667,5.0,9.8,5.0,5.5,116772,4719,336,oil,central,crawl space,asphalt,10,7/30/2020,936306,8/8/2022,1800
127,townhouse,2513,2,1,1943,6.4,urban,3,true,false,city,1931,45046,7.3,5.6,0.8,8.3,88921,623,74,oil,central,slab,tile,7,2/10/2022,560764,3/4/2020,1100
128,house,1763,5,1,2008,5.1,suburban,0,false,false,mountain,1935,37085,6.7,3.1,5.2,8.5,79378,3247,466,gas,central,basement,metal,8,7/9/2021,513737,7/11/2021,1200
129,apartment,719,3,2,1921,1.4,rural,2,true,false,ocean,1921,38215,7.8,8.6,1.3,0.3,122675,3509,399,gas,central,crawl space,asphalt,8,5/19/2022,349782,12/28/2020,800
130,condo,4047,1,3,1977,1.4,rural,1,true,false,city,2005,39022,3.5,8.7,7.1,4.2,127981,765,90,gas,central,slab,tile,10,5/28/2021,596006,10/9/2022,1400
131,apartment,3210,4,3,1958,5.0,suburban,1,true,true,mountain,1983,40497,5.2,2.3,5.6,7.0,115938,1735,358,gas,none,basement,tile,6,6/21/2021,50418,10/22/2022,0
132,apartment,1309,1,1,1953,7.7,urban,2,false,false,ocean,1968,5174,9.7,7.2,5.3,8.2,31209,1187,110,oil,window,slab,tile,7,11/27/2022,726056,2/28/2022,13900
133,condo,3342,3,3,1921,7.6,urban,1,true,true,ocean,2005,20869,8.8,0.8,5.8,9.0,135308,2256,123,oil,none,basement,asphalt,4,9/12/2022,76230,6/12/2022,200
134,house,2655,6,4,1960,7.4,suburban,0,true,false,city,1951,41474,9.7,4.5,5.6,3.8,47451,1902,245,gas,window,slab,asphalt,7,9/10/2020,634614,8/13/2022,1400
135,townhouse,4143,5,4,1907,6.8,urban,0,true,false,ocean,1942,20387,7.8,5.4,9.8,5.9,55920,648,231,oil,window,basement,metal,1,12/7/2022,647357,9/11/2020,3000
136,apartment,4877,5,3,1990,3.3,rural,2,false,false,ocean,1953,12947,3.4,5.0,6.6,7.6,132514,4268,319,electric,none,crawl space,asphalt,2,11/8/2021,378550,3/9/2022,2800
137,townhouse,4853,3,3,1922,7.3,rural,2,false,false,mountain,1964,45916,8.6,9.6,3.3,8.4,107206,3698,391,oil,window,slab,tile,1,2/9/2021,870983,7/28/2022,1700
138,apartment,1219,4,1,1944,5.1,rural,2,true,true,ocean,1949,7443,8.6,8.8,7.2,5.0,30179,4323,60,electric,none,crawl space,asphalt,4,8/6/2021,237613,11/10/2020,3000
139,apartment,1116,4,1,1941,6.3,rural,0,true,true,ocean,1990,48169,0.5,2.3,3.7,1.8,27854,1140,254,oil,window,slab,metal,4,10/8/2020,414473,6/28/2020,700
140,condo,4693,6,1,1903,6.5,suburban,2,false,true,city,1998,44836,4.9,5.7,7.6,9.3,49323,2990,331,gas,none,basement,metal,1,6/18/2020,539574,4/1/2020,1100
141,condo,649,3,2,1902,1.3,urban,1,true,true,ocean,2020,2561,1.2,3.8,6.8,1.8,74002,3039,94,oil,none,crawl space,asphalt,9,5/20/2022,314158,5/21/2022,12100
142,apartment,2744,2,1,1910,1.6,urban,2,true,false,city,1908,41371,0.7,5.6,8.4,7.0,37986,1267,339,oil,none,crawl space,metal,1,1/17/2022,942027,12/18/2020,2100
